"date","region","phe_admissions","phe_occupied_mv_beds","phe_patients","react_positive","react_samples","ons_death_hospital","ons_death_carehome","ons_death_community","death_0","death_55","death_65","death_75","pillar2_negatives_total_pcr_over25","pillar2_positives_over25","pillar2_positives_lft_over25"
"2020-04-11","london",490,1035,4910,NA,NA,175,54,18,22,27,25,101,NA,NA,NA
"2020-04-12","london",384,1035,4931,NA,NA,168,52,16,13,23,34,98,NA,NA,NA
"2020-04-13","london",416,1046,4799,NA,NA,169,41,16,8,31,38,92,NA,NA,NA
"2020-04-14","london",447,1026,4621,NA,NA,154,42,16,14,27,24,89,NA,NA,NA
"2020-04-15","london",412,1023,4509,NA,NA,153,33,16,12,27,30,84,NA,NA,NA
"2020-04-16","london",388,1012,4395,NA,NA,145,43,14,16,19,31,79,NA,NA,NA
"2020-04-17","london",358,982,4219,NA,NA,107,45,16,13,18,23,53,NA,NA,NA
"2020-04-18","london",283,992,3993,NA,NA,110,42,14,9,17,20,64,NA,NA,NA
"2020-04-19","london",290,991,4021,NA,NA,106,37,12,5,9,27,65,NA,NA,NA
"2020-04-20","london",308,1019,3940,NA,NA,97,38,11,4,22,24,47,NA,NA,NA
"2020-04-21","london",288,972,3922,NA,NA,98,29,13,14,19,19,46,NA,NA,NA
"2020-04-22","london",225,927,3768,NA,NA,101,24,10,10,18,21,52,NA,NA,NA
"2020-04-23","london",266,897,3510,NA,NA,81,23,16,9,13,14,45,NA,NA,NA
"2020-04-24","london",171,836,3281,NA,NA,70,40,9,6,11,18,35,NA,NA,NA
"2020-04-25","london",137,868,3198,NA,NA,53,22,4,4,7,11,31,NA,NA,NA
"2020-04-26","london",187,831,3115,NA,NA,55,17,11,5,6,8,36,NA,NA,NA
"2020-04-27","london",261,800,3117,NA,NA,53,15,6,5,4,11,33,NA,NA,NA
"2020-04-28","london",248,755,2794,NA,NA,46,25,8,3,7,11,25,NA,NA,NA
"2020-04-29","london",212,733,2811,NA,NA,56,13,7,5,7,17,27,NA,NA,NA
"2020-04-30","london",183,723,2703,NA,NA,48,21,8,4,11,6,27,NA,NA,NA
"2020-05-01","london",201,712,2596,0,7,33,19,7,4,6,10,13,NA,NA,NA
"2020-05-02","london",150,678,2432,0,1,47,22,9,6,7,7,27,NA,NA,NA
"2020-05-03","london",157,638,2390,0,3,39,13,5,3,9,7,20,NA,NA,NA
"2020-05-04","london",169,587,2328,0,4,32,18,3,3,5,7,17,NA,NA,NA
"2020-05-05","london",178,565,2270,0,39,31,18,3,4,3,7,17,NA,NA,NA
"2020-05-06","london",216,580,2154,0,23,39,12,6,4,5,10,20,NA,NA,NA
"2020-05-07","london",202,565,2086,1,25,39,8,6,2,6,10,21,NA,NA,NA
"2020-05-08","london",99,531,1955,0,27,32,11,3,3,4,5,20,NA,NA,NA
"2020-05-09","london",85,516,1971,0,54,21,9,0,2,2,1,16,NA,NA,NA
"2020-05-10","london",86,466,1889,0,22,30,10,0,4,4,2,20,NA,NA,NA
"2020-05-11","london",91,457,1880,0,48,26,12,7,1,2,7,16,NA,NA,NA
"2020-05-12","london",80,425,1827,0,67,20,6,4,0,3,7,10,NA,NA,NA
"2020-05-13","london",91,413,1777,0,67,16,5,4,1,2,1,12,NA,NA,NA
"2020-05-14","london",91,395,1667,4,166,18,8,7,1,3,3,11,NA,NA,NA
"2020-05-15","london",77,405,1625,2,302,20,6,0,0,2,5,13,NA,NA,NA
"2020-05-16","london",59,384,1552,0,380,12,8,3,1,1,2,8,NA,NA,NA
"2020-05-17","london",51,374,1454,1,553,13,7,2,0,2,4,7,NA,NA,NA
"2020-05-18","london",74,349,1496,2,465,11,10,3,0,3,5,3,NA,NA,NA
"2020-05-19","london",89,333,1390,0,759,16,9,2,1,1,3,11,NA,NA,NA
"2020-05-20","london",71,313,1247,1,885,15,7,0,1,2,2,10,NA,NA,NA
"2020-05-21","london",76,307,1224,4,1007,13,9,0,2,1,3,7,NA,NA,NA
"2020-05-22","london",77,287,1240,1,1139,13,4,0,0,3,1,9,NA,NA,NA
"2020-05-23","london",43,272,1165,1,910,8,4,1,2,3,0,3,NA,NA,NA
"2020-05-24","london",41,271,1160,0,427,8,6,1,0,0,2,6,NA,NA,NA
"2020-05-25","london",49,276,1174,1,181,9,3,2,0,1,0,8,NA,NA,NA
"2020-05-26","london",67,268,1144,0,444,16,4,3,1,3,3,9,NA,NA,NA
"2020-05-27","london",69,228,1091,1,541,8,6,0,1,1,2,4,NA,NA,NA
"2020-05-28","london",57,222,1029,0,456,7,3,0,1,0,0,6,NA,NA,NA
"2020-05-29","london",51,207,1002,0,180,6,5,0,0,1,1,4,NA,NA,NA
"2020-05-30","london",30,213,915,0,163,10,5,2,1,1,1,7,NA,NA,NA
"2020-05-31","london",42,197,891,0,216,8,3,1,0,1,2,5,NA,NA,NA
"2020-06-01","london",48,170,862,0,65,11,2,0,1,0,3,7,3407,22,NA
"2020-06-02","london",51,159,855,NA,NA,8,6,1,0,2,1,5,3757,22,NA
"2020-06-03","london",68,148,813,NA,NA,5,1,0,0,2,0,3,4065,32,NA
"2020-06-04","london",58,139,795,NA,NA,8,3,0,0,0,1,7,4339,33,NA
"2020-06-05","london",50,137,783,NA,NA,3,4,0,0,1,2,0,4371,21,NA
"2020-06-06","london",46,140,707,NA,NA,2,1,0,0,0,0,2,2998,27,NA
"2020-06-07","london",56,134,691,NA,NA,5,1,1,1,0,0,4,2382,23,NA
"2020-06-08","london",69,134,701,NA,NA,4,3,2,1,0,1,2,4073,18,NA
"2020-06-09","london",35,129,707,NA,NA,4,2,2,0,1,1,2,5239,42,NA
"2020-06-10","london",41,115,675,NA,NA,4,2,1,1,0,2,1,4780,22,NA
"2020-06-11","london",32,100,620,NA,NA,4,1,1,0,0,1,3,4271,22,NA
"2020-06-12","london",30,100,568,NA,NA,4,4,2,0,1,0,3,3480,27,NA
"2020-06-13","london",20,100,540,NA,NA,4,2,0,0,1,1,2,2434,25,NA
"2020-06-14","london",22,100,531,NA,NA,5,2,2,0,2,0,3,2018,17,NA
"2020-06-15","london",49,98,503,NA,NA,2,1,1,0,1,0,1,3023,26,NA
"2020-06-16","london",56,97,539,NA,NA,2,2,0,0,1,1,0,2961,19,NA
"2020-06-17","london",56,84,508,NA,NA,3,0,0,1,1,0,1,3228,22,NA
"2020-06-18","london",50,83,494,NA,NA,0,0,0,0,0,0,0,3390,26,NA
"2020-06-19","london",47,72,466,0,38,6,2,3,0,0,3,3,3053,18,NA
"2020-06-20","london",19,71,466,0,294,4,0,0,1,0,0,3,1993,11,NA
"2020-06-21","london",25,69,446,0,425,0,1,0,0,0,0,0,1796,15,NA
"2020-06-22","london",60,75,453,4,954,1,1,3,0,0,0,1,3082,21,NA
"2020-06-23","london",69,80,452,3,919,2,3,0,1,0,1,0,3386,15,NA
"2020-06-24","london",51,77,477,1,1093,3,5,0,0,0,2,1,3545,18,NA
"2020-06-25","london",47,67,439,3,1484,2,2,1,0,2,0,0,3408,24,NA
"2020-06-26","london",39,67,423,2,1572,2,3,1,0,2,0,0,3781,26,NA
"2020-06-27","london",29,62,408,0,1144,0,0,0,0,0,0,0,2388,16,NA
"2020-06-28","london",18,63,392,1,923,2,2,0,0,0,0,2,2313,10,NA
"2020-06-29","london",20,62,398,2,1464,1,2,1,0,0,0,1,5416,34,NA
"2020-06-30","london",28,66,386,4,1530,3,1,0,0,0,2,1,5084,24,NA
"2020-07-01","london",53,59,334,1,1241,2,2,1,0,1,0,1,5537,15,NA
"2020-07-02","london",27,54,320,0,811,1,1,1,0,0,0,1,4983,18,NA
"2020-07-03","london",20,51,316,0,704,1,1,0,0,0,0,1,4361,18,NA
"2020-07-04","london",16,51,293,1,427,1,1,0,0,0,0,1,2582,20,NA
"2020-07-05","london",23,47,288,0,208,3,1,0,0,0,0,3,2468,30,NA
"2020-07-06","london",30,52,291,1,288,3,1,0,0,1,1,1,5039,30,NA
"2020-07-07","london",26,48,284,0,2,1,0,0,0,0,0,1,6046,31,NA
"2020-07-08","london",30,45,269,NA,NA,3,0,0,0,1,0,2,7138,31,NA
"2020-07-09","london",27,45,265,NA,NA,3,0,0,0,1,2,0,6176,25,NA
"2020-07-10","london",26,39,255,NA,NA,1,1,0,0,1,0,0,5088,22,NA
"2020-07-11","london",17,38,206,NA,NA,2,2,0,0,1,0,1,2569,11,NA
"2020-07-12","london",16,37,247,NA,NA,1,0,0,0,0,1,0,2955,21,NA
"2020-07-13","london",18,34,247,NA,NA,2,1,0,0,0,0,2,6922,57,NA
"2020-07-14","london",19,35,229,NA,NA,1,1,1,0,1,0,0,7502,34,NA
"2020-07-15","london",22,30,212,NA,NA,0,1,0,0,0,0,0,8270,46,NA
"2020-07-16","london",24,28,191,NA,NA,1,0,0,0,1,0,0,7213,40,NA
"2020-07-17","london",18,29,187,NA,NA,1,2,1,0,0,0,1,6060,28,NA
"2020-07-18","london",5,29,179,NA,NA,0,1,0,0,0,0,0,3509,34,NA
"2020-07-19","london",7,32,179,NA,NA,1,0,0,1,0,0,0,3971,28,NA
"2020-07-20","london",14,30,180,NA,NA,1,0,0,0,0,0,1,7446,56,NA
"2020-07-21","london",11,29,175,NA,NA,3,0,0,0,0,1,2,7490,48,NA
"2020-07-22","london",11,25,173,NA,NA,2,0,0,0,0,1,1,7671,45,NA
"2020-07-23","london",14,25,165,NA,NA,4,1,0,0,1,1,2,6964,41,NA
"2020-07-24","london",15,21,147,0,60,2,1,0,0,0,0,2,6249,41,NA
"2020-07-25","london",5,17,108,0,503,0,0,1,0,0,0,0,3932,31,NA
"2020-07-26","london",9,18,139,1,720,0,2,0,0,0,0,0,3993,41,NA
"2020-07-27","london",10,19,133,1,1169,1,0,0,0,0,0,1,8855,73,NA
"2020-07-28","london",7,17,127,0,1203,2,0,0,0,0,1,1,8472,62,NA
"2020-07-29","london",11,17,131,1,1181,1,0,0,0,0,0,1,9236,73,NA
"2020-07-30","london",5,19,134,0,1194,0,0,0,0,0,0,0,8474,65,NA
"2020-07-31","london",2,18,128,0,1167,2,0,0,0,0,2,0,7064,47,NA
"2020-08-01","london",5,16,126,0,858,1,1,0,0,0,0,1,4451,41,NA
"2020-08-02","london",10,15,120,0,740,2,0,1,0,0,2,0,4538,37,NA
"2020-08-03","london",2,17,122,0,1271,0,0,0,0,0,0,0,8851,47,NA
"2020-08-04","london",5,15,118,1,1244,1,0,0,0,0,0,1,8374,66,NA
"2020-08-05","london",12,13,111,0,976,0,0,0,0,0,0,0,9453,81,NA
"2020-08-06","london",7,11,113,2,770,2,1,0,0,0,2,0,8886,67,NA
"2020-08-07","london",7,10,105,1,668,0,0,0,0,0,0,0,7655,72,NA
"2020-08-08","london",2,10,126,0,430,1,1,1,0,0,0,1,4115,37,NA
"2020-08-09","london",10,12,107,0,312,0,1,0,0,0,0,0,3540,42,NA
"2020-08-10","london",9,12,107,0,541,1,1,0,0,0,0,1,9439,100,NA
"2020-08-11","london",18,13,105,0,4,2,0,0,0,1,0,1,9262,90,NA
"2020-08-12","london",5,17,111,NA,NA,0,1,0,0,0,0,0,9673,92,NA
"2020-08-13","london",9,15,104,NA,NA,2,1,0,0,0,0,2,9233,91,NA
"2020-08-14","london",8,15,103,NA,NA,1,0,1,0,0,0,1,8438,83,NA
"2020-08-15","london",4,15,100,NA,NA,0,0,0,0,0,0,0,5089,68,NA
"2020-08-16","london",7,19,100,NA,NA,0,0,0,0,0,0,0,4491,51,NA
"2020-08-17","london",2,19,107,NA,NA,1,0,0,0,0,0,1,11394,133,NA
"2020-08-18","london",6,19,98,NA,NA,0,0,0,0,0,0,0,10920,111,NA
"2020-08-19","london",7,15,90,NA,NA,0,0,0,0,0,0,0,12762,119,NA
"2020-08-20","london",6,15,89,0,29,2,0,0,0,1,0,1,11937,140,NA
"2020-08-21","london",5,16,84,0,79,0,0,0,0,0,0,0,10589,105,NA
"2020-08-22","london",3,18,79,0,800,0,1,0,0,0,0,0,5610,64,NA
"2020-08-23","london",8,20,84,0,700,0,0,0,0,0,0,0,4562,97,NA
"2020-08-24","london",6,15,85,0,1281,0,0,0,0,0,0,0,10779,123,NA
"2020-08-25","london",9,16,81,1,1164,1,0,0,0,0,0,1,11463,116,NA
"2020-08-26","london",5,16,83,0,1145,0,1,0,0,0,0,0,11772,110,NA
"2020-08-27","london",5,16,86,0,1242,0,0,0,0,0,0,0,9490,149,NA
"2020-08-28","london",11,12,82,2,1307,0,0,0,0,0,0,0,8817,128,NA
"2020-08-29","london",6,15,73,1,886,1,0,0,1,0,0,0,5189,75,NA
"2020-08-30","london",6,13,78,2,580,0,0,0,0,0,0,0,4530,88,NA
"2020-08-31","london",6,14,81,1,707,1,0,0,0,0,1,0,6167,119,NA
"2020-09-01","london",6,14,88,3,1141,0,0,1,0,0,0,0,12160,220,NA
"2020-09-02","london",11,13,84,1,901,0,0,0,0,0,0,0,11883,217,NA
"2020-09-03","london",15,12,87,1,742,1,0,0,0,0,1,0,10969,226,NA
"2020-09-04","london",11,12,86,2,711,0,0,0,0,0,0,0,10415,253,NA
"2020-09-05","london",23,11,90,1,546,0,0,0,0,0,0,0,6294,175,NA
"2020-09-06","london",12,13,87,0,419,2,0,0,0,0,0,2,4330,139,NA
"2020-09-07","london",5,13,98,0,560,0,0,0,0,0,0,0,11320,310,NA
"2020-09-08","london",11,15,100,0,4,1,0,0,0,0,0,1,10009,223,NA
"2020-09-09","london",17,16,96,NA,NA,0,1,0,0,0,0,0,10441,198,NA
"2020-09-10","london",19,14,98,NA,NA,3,0,0,0,0,2,1,9783,255,NA
"2020-09-11","london",13,15,115,NA,NA,1,2,0,0,0,0,1,9082,191,NA
"2020-09-12","london",19,12,98,NA,NA,0,0,0,0,0,0,0,4372,127,NA
"2020-09-13","london",23,16,100,NA,NA,0,0,0,0,0,0,0,2485,51,NA
"2020-09-14","london",31,21,123,NA,NA,0,0,0,0,0,0,0,6684,156,NA
"2020-09-15","london",26,26,136,NA,NA,3,1,0,0,1,0,2,8595,128,NA
"2020-09-16","london",25,26,137,NA,NA,1,0,0,0,0,1,0,8796,142,NA
"2020-09-17","london",28,25,147,NA,NA,3,1,1,0,0,0,3,7588,160,NA
"2020-09-18","london",41,25,150,0,86,2,0,0,0,0,0,2,7992,196,NA
"2020-09-19","london",32,32,161,2,810,5,1,0,0,1,2,2,3426,172,NA
"2020-09-20","london",38,32,171,4,897,3,1,0,0,0,2,1,3972,243,NA
"2020-09-21","london",44,31,190,6,1372,3,0,0,0,0,1,2,7518,204,NA
"2020-09-22","london",35,37,210,5,1225,5,0,0,0,0,2,3,10280,290,NA
"2020-09-23","london",36,35,210,11,1255,4,1,3,0,1,0,3,11188,380,NA
"2020-09-24","london",47,40,219,8,1423,2,0,0,0,0,0,2,10490,346,NA
"2020-09-25","london",36,47,230,3,1368,1,0,0,0,0,1,0,9874,356,NA
"2020-09-26","london",28,38,200,3,1186,2,0,0,0,0,0,2,6076,320,NA
"2020-09-27","london",23,48,224,7,1166,2,0,0,0,0,0,2,5439,324,NA
"2020-09-28","london",28,48,267,6,1411,4,1,1,2,0,1,1,10766,469,NA
"2020-09-29","london",36,50,275,7,1197,7,1,0,0,0,2,5,11706,413,NA
"2020-09-30","london",31,49,278,4,1053,7,0,0,0,0,1,6,13339,556,NA
"2020-10-01","london",50,49,275,1,858,4,1,0,0,0,2,2,12769,612,NA
"2020-10-02","london",37,56,276,8,638,1,0,1,0,0,0,1,12591,605,NA
"2020-10-03","london",38,56,280,1,597,3,1,0,1,0,2,0,7704,463,NA
"2020-10-04","london",27,50,287,1,338,2,0,0,0,0,0,2,5786,506,NA
"2020-10-05","london",47,56,326,1,485,7,1,1,0,0,1,6,12589,747,NA
"2020-10-06","london",43,60,320,NA,NA,5,0,0,0,0,2,3,14979,696,NA
"2020-10-07","london",46,59,350,NA,NA,5,1,1,0,0,0,5,15691,816,NA
"2020-10-08","london",39,51,343,NA,NA,6,0,0,0,0,1,5,15139,910,NA
"2020-10-09","london",55,50,348,NA,NA,8,0,1,0,0,1,7,13373,770,NA
"2020-10-10","london",51,52,341,NA,NA,3,0,1,0,1,1,1,6410,499,NA
"2020-10-11","london",50,57,365,NA,NA,4,0,0,1,0,1,2,4719,448,NA
"2020-10-12","london",69,65,389,NA,NA,4,0,0,0,0,2,2,13157,948,NA
"2020-10-13","london",73,66,442,NA,NA,4,0,0,0,0,0,4,15090,878,NA
"2020-10-14","london",76,77,430,NA,NA,7,0,0,1,1,0,5,15354,997,NA
"2020-10-15","london",78,78,439,NA,NA,13,0,0,0,1,4,8,14587,1014,NA
"2020-10-16","london",67,80,490,2,69,6,0,1,0,0,2,4,13462,1042,NA
"2020-10-17","london",87,83,502,3,793,3,0,1,0,0,1,2,7050,693,NA
"2020-10-18","london",95,87,542,4,889,4,1,1,0,1,0,3,5978,783,NA
"2020-10-19","london",90,89,594,9,1346,9,0,0,0,0,2,7,15338,1507,NA
"2020-10-20","london",89,88,610,8,1156,5,1,1,0,1,2,2,16860,1447,NA
"2020-10-21","london",114,90,633,15,1212,13,0,0,0,1,3,9,16920,1503,NA
"2020-10-22","london",108,81,606,8,1265,8,2,1,1,0,2,5,15263,1449,NA
"2020-10-23","london",125,99,698,22,1221,5,0,0,0,2,0,3,14327,1280,NA
"2020-10-24","london",108,98,722,12,895,17,0,1,1,0,3,13,7562,914,NA
"2020-10-25","london",118,111,762,5,752,9,0,1,0,2,3,4,5457,844,NA
"2020-10-26","london",155,117,815,7,1123,9,0,1,1,0,1,7,14920,1698,NA
"2020-10-27","london",109,119,889,12,1047,12,1,1,0,1,0,11,15586,1349,NA
"2020-10-28","london",112,124,933,9,879,16,1,1,2,1,4,9,15407,1323,NA
"2020-10-29","london",140,131,921,4,733,13,1,0,0,0,3,10,14274,1305,NA
"2020-10-30","london",126,134,945,6,682,13,0,0,0,2,3,8,14281,1218,NA
"2020-10-31","london",132,132,963,4,515,6,0,1,0,2,0,4,7460,953,NA
"2020-11-01","london",134,136,1032,3,398,15,1,2,1,2,6,6,7001,756,NA
"2020-11-02","london",136,142,1067,8,679,16,3,1,0,0,1,15,15959,1957,NA
"2020-11-03","london",103,147,1111,NA,NA,14,1,0,1,1,1,11,16082,1416,NA
"2020-11-04","london",123,151,1132,NA,NA,15,0,0,0,2,3,10,15677,1402,NA
"2020-11-05","london",118,154,1102,NA,NA,16,1,2,0,1,2,13,15250,1369,NA
"2020-11-06","london",101,155,1085,NA,NA,11,2,0,1,0,1,9,15863,1414,NA
"2020-11-07","london",109,156,1108,NA,NA,21,2,1,0,4,1,16,8056,1085,NA
"2020-11-08","london",150,167,1114,NA,NA,16,2,3,0,0,4,12,6714,1177,NA
"2020-11-09","london",136,179,1210,NA,NA,22,1,1,0,4,3,15,15536,2010,1
"2020-11-10","london",147,179,1211,NA,NA,14,1,0,1,0,2,11,15564,1747,NA
"2020-11-11","london",134,181,1223,NA,NA,11,1,0,1,1,3,6,16591,1905,NA
"2020-11-12","london",152,178,1269,NA,NA,15,5,2,0,1,2,12,15217,1818,NA
"2020-11-13","london",136,194,1298,0,7,10,1,3,1,0,3,6,15777,1765,1
"2020-11-14","london",139,202,1357,0,27,18,1,0,0,3,6,9,7830,1263,NA
"2020-11-15","london",170,214,1390,0,82,16,1,1,0,0,6,10,6460,1148,NA
"2020-11-16","london",154,209,1474,14,1565,27,4,1,1,2,3,21,16579,1926,NA
"2020-11-17","london",152,218,1520,5,1218,31,0,1,0,1,9,21,16202,1565,NA
"2020-11-18","london",179,220,1519,5,1317,21,0,1,0,1,4,16,15905,1491,NA
"2020-11-19","london",173,222,1551,10,1314,26,1,0,3,2,2,19,14762,1336,NA
"2020-11-20","london",116,233,1576,17,1263,22,2,4,2,3,3,14,14854,1324,NA
"2020-11-21","london",165,251,1591,11,1159,20,2,0,0,0,5,15,7676,907,1
"2020-11-22","london",145,248,1605,6,838,28,4,2,1,4,6,17,6425,908,NA
"2020-11-23","london",147,252,1675,4,988,20,1,0,1,2,6,11,14968,1425,NA
"2020-11-24","london",131,253,1626,10,869,28,1,3,1,3,2,22,15323,1239,NA
"2020-11-25","london",200,261,1611,8,722,30,3,4,1,4,5,20,16645,1320,NA
"2020-11-26","london",155,251,1643,5,647,22,2,4,0,5,4,13,15181,1223,NA
"2020-11-27","london",124,267,1674,4,686,24,0,1,1,0,4,19,15089,1239,NA
"2020-11-28","london",107,248,1635,12,564,25,1,3,2,3,3,17,8083,995,NA
"2020-11-29","london",154,260,1663,11,591,42,7,3,2,2,6,32,6903,999,NA
"2020-11-30","london",146,253,1677,2,536,20,3,3,0,1,5,14,15004,1535,2
"2020-12-01","london",160,259,1701,6,551,21,0,0,1,0,3,17,15575,1383,4
"2020-12-02","london",162,256,1637,6,541,26,1,1,0,3,7,16,17539,1693,3
"2020-03-16","midlands",NA,NA,NA,NA,NA,10,0,1,2,0,2,6,NA,NA,NA
"2020-03-17","midlands",NA,NA,NA,NA,NA,6,1,2,0,0,1,5,NA,NA,NA
"2020-03-18","midlands",NA,NA,NA,NA,NA,12,0,0,0,1,3,8,NA,NA,NA
"2020-03-19","midlands",96,NA,NA,NA,NA,8,2,1,0,2,2,4,NA,NA,NA
"2020-03-20","midlands",164,NA,218,NA,NA,20,1,3,1,1,4,14,NA,NA,NA
"2020-03-21","midlands",151,NA,279,NA,NA,17,1,3,1,1,1,14,NA,NA,NA
"2020-03-22","midlands",192,NA,382,NA,NA,29,1,3,1,4,6,18,NA,NA,NA
"2020-03-23","midlands",208,NA,438,NA,NA,30,2,5,2,2,10,16,NA,NA,NA
"2020-03-24","midlands",329,NA,584,NA,NA,36,3,4,0,5,6,25,NA,NA,NA
"2020-03-25","midlands",422,NA,691,NA,NA,45,2,6,1,5,9,30,NA,NA,NA
"2020-03-26","midlands",356,NA,970,NA,NA,55,8,6,4,7,4,40,NA,NA,NA
"2020-03-27","midlands",404,NA,1064,NA,NA,70,4,6,2,4,15,49,NA,NA,NA
"2020-03-28","midlands",350,NA,1138,NA,NA,90,9,3,6,10,19,55,NA,NA,NA
"2020-03-29","midlands",481,NA,1330,NA,NA,89,1,8,2,12,18,57,NA,NA,NA
"2020-03-30","midlands",581,NA,1833,NA,NA,93,11,8,4,7,23,59,NA,NA,NA
"2020-03-31","midlands",594,NA,1952,NA,NA,138,10,7,5,13,25,95,NA,NA,NA
"2020-04-01","midlands",776,NA,2192,NA,NA,140,20,13,7,7,27,99,NA,NA,NA
"2020-04-02","midlands",582,301,1851,NA,NA,156,22,9,5,14,29,108,NA,NA,NA
"2020-04-03","midlands",451,357,2682,NA,NA,134,17,8,3,15,25,91,NA,NA,NA
"2020-04-04","midlands",559,360,2925,NA,NA,151,31,8,7,13,26,105,NA,NA,NA
"2020-04-05","midlands",489,406,3091,NA,NA,173,23,8,11,16,31,115,NA,NA,NA
"2020-04-06","midlands",439,419,3250,NA,NA,145,34,11,6,14,27,98,NA,NA,NA
"2020-04-07","midlands",532,445,3328,NA,NA,126,32,12,3,14,25,84,NA,NA,NA
"2020-04-08","midlands",536,450,3315,NA,NA,191,32,13,12,18,34,127,NA,NA,NA
"2020-04-09","midlands",374,465,3271,NA,NA,144,56,10,9,19,30,86,NA,NA,NA
"2020-04-10","midlands",379,464,3414,NA,NA,148,45,9,10,11,35,92,NA,NA,NA
"2020-04-11","midlands",335,469,3396,NA,NA,154,62,11,8,16,30,100,NA,NA,NA
"2020-04-12","midlands",303,475,3430,NA,NA,142,66,13,7,9,27,99,NA,NA,NA
"2020-04-13","midlands",333,485,3316,NA,NA,135,49,6,8,12,25,90,NA,NA,NA
"2020-04-14","midlands",359,467,3345,NA,NA,123,58,12,8,7,20,88,NA,NA,NA
"2020-04-15","midlands",242,472,3101,NA,NA,146,45,18,7,12,22,105,NA,NA,NA
"2020-04-16","midlands",283,474,3095,NA,NA,112,66,10,3,11,22,76,NA,NA,NA
"2020-04-17","midlands",291,440,2815,NA,NA,114,84,11,7,8,15,84,NA,NA,NA
"2020-04-18","midlands",229,464,2894,NA,NA,116,59,10,5,7,18,86,NA,NA,NA
"2020-04-19","midlands",281,459,2883,NA,NA,102,68,12,7,11,11,73,NA,NA,NA
"2020-04-20","midlands",280,437,2843,NA,NA,113,59,7,6,8,19,80,NA,NA,NA
"2020-04-21","midlands",259,437,2845,NA,NA,98,58,11,8,11,18,61,NA,NA,NA
"2020-04-22","midlands",218,435,2755,NA,NA,74,73,4,2,9,6,57,NA,NA,NA
"2020-04-23","midlands",221,408,2722,NA,NA,109,62,8,6,20,20,63,NA,NA,NA
"2020-04-24","midlands",204,378,2558,NA,NA,84,53,6,4,4,17,59,NA,NA,NA
"2020-04-25","midlands",187,359,2368,NA,NA,73,65,6,2,3,18,50,NA,NA,NA
"2020-04-26","midlands",210,350,2549,NA,NA,84,73,7,3,6,11,64,NA,NA,NA
"2020-04-27","midlands",206,301,2542,NA,NA,84,52,8,6,5,15,58,NA,NA,NA
"2020-04-28","midlands",220,299,2435,NA,NA,68,53,1,2,7,9,50,NA,NA,NA
"2020-04-29","midlands",223,306,2318,NA,NA,63,63,8,2,4,11,46,NA,NA,NA
"2020-04-30","midlands",206,291,2308,NA,NA,53,59,2,1,2,7,43,NA,NA,NA
"2020-05-01","midlands",199,293,2219,0,25,67,69,4,2,3,12,50,NA,NA,NA
"2020-05-02","midlands",151,266,2198,0,12,55,48,11,1,6,11,37,NA,NA,NA
"2020-05-03","midlands",142,253,2161,0,5,56,51,5,2,0,9,45,NA,NA,NA
"2020-05-04","midlands",228,243,2154,0,28,69,44,10,2,8,11,48,NA,NA,NA
"2020-05-05","midlands",184,235,2100,1,121,61,47,3,3,3,14,41,NA,NA,NA
"2020-05-06","midlands",201,222,2070,1,66,62,37,3,2,6,12,42,NA,NA,NA
"2020-05-07","midlands",167,173,1976,0,84,47,47,3,0,0,13,34,NA,NA,NA
"2020-05-08","midlands",157,198,1917,0,24,42,52,1,0,4,9,29,NA,NA,NA
"2020-05-09","midlands",159,189,1921,0,264,40,44,8,1,1,5,33,NA,NA,NA
"2020-05-10","midlands",124,189,1889,0,30,41,33,3,1,6,4,30,NA,NA,NA
"2020-05-11","midlands",165,178,1915,1,313,34,31,4,2,3,3,26,NA,NA,NA
"2020-05-12","midlands",160,176,1869,0,231,51,32,1,3,5,11,32,NA,NA,NA
"2020-05-13","midlands",148,163,1879,0,310,46,22,3,5,4,6,31,NA,NA,NA
"2020-05-14","midlands",143,164,1833,3,526,41,33,2,2,1,4,34,NA,NA,NA
"2020-05-15","midlands",172,154,1776,2,1258,38,25,2,2,3,7,26,NA,NA,NA
"2020-05-16","midlands",143,150,1747,4,1684,36,36,5,1,3,4,28,NA,NA,NA
"2020-05-17","midlands",152,151,1809,6,1817,28,32,2,2,3,3,20,NA,NA,NA
"2020-05-18","midlands",154,139,1820,0,1338,50,33,1,3,3,9,35,NA,NA,NA
"2020-05-19","midlands",157,141,1811,3,1893,39,24,2,0,0,8,31,NA,NA,NA
"2020-05-20","midlands",149,132,1763,5,2108,37,13,5,1,1,3,32,NA,NA,NA
"2020-05-21","midlands",133,129,1733,2,2169,36,21,2,1,3,6,26,NA,NA,NA
"2020-05-22","midlands",120,120,1706,1,2662,30,18,3,1,1,5,23,NA,NA,NA
"2020-05-23","midlands",113,114,1620,0,2159,37,16,5,2,6,6,23,NA,NA,NA
"2020-05-24","midlands",90,110,1644,1,966,22,14,4,1,2,4,15,NA,NA,NA
"2020-05-25","midlands",92,101,1685,2,466,20,20,5,0,2,5,13,NA,NA,NA
"2020-05-26","midlands",118,98,1624,2,878,36,22,2,1,2,8,25,NA,NA,NA
"2020-05-27","midlands",126,96,1418,0,990,25,19,4,2,1,4,18,NA,NA,NA
"2020-05-28","midlands",114,94,1359,0,687,27,17,2,1,1,5,20,NA,NA,NA
"2020-05-29","midlands",112,103,1312,0,292,21,14,3,0,3,1,17,NA,NA,NA
